location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename,Power_301,Power_302,301_beam0,301_beam32,301_beam64,301_beam96,301_beam128,301_beam288,302_beam0,302_beam32,302_beam64,302_beam96,302_beam128,302_beam288,Distance_301,Distance_302,Angle_301,Angle_302
689.0,154.0,302,-124.1,-13.6,,15:51:45.381,18Jun13_155143.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,184.5697700058165,71.449282711585,A,B
689.0,154.0,302,-122.1,-11.9,,15:52:15.889,18Jun13_155143.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,184.5697700058165,71.449282711585,A,B
689.0,154.0,302,-122.1,-12.6,,15:52:19.433,18Jun13_155143.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,184.5697700058165,71.449282711585,A,B
689.0,154.0,302,-122.3,-11.3,,15:52:49.929,18Jun13_155143.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,184.5697700058165,71.449282711585,A,B
689.0,154.0,302,-123.8,-12.4,,15:53:24.147,18Jun13_155143.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,184.5697700058165,71.449282711585,A,B
689.0,154.0,302,-122.6,-13.4,,15:53:27.692,18Jun13_155143.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,184.5697700058165,71.449282711585,A,B
782.0,157.0,302,-109.8,-10.0,,15:33:06.292,18Jun13_153247.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,95.70788891204319,65.85590330410783,A,C
782.0,157.0,301,-128.1,-15.2,,15:33:06.781,18Jun13_153247.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,95.70788891204319,65.85590330410783,A,C
782.0,157.0,302,-107.8,-9.8,,15:33:10.313,18Jun13_153247.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,95.70788891204319,65.85590330410783,A,C
782.0,157.0,301,-129.5,-16.0,,15:33:41.314,18Jun13_153247.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,95.70788891204319,65.85590330410783,A,C
782.0,157.0,302,-107.9,-9.3,,15:33:45.361,18Jun13_153247.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,95.70788891204319,65.85590330410783,A,C
782.0,157.0,302,-108.8,-7.3,,15:34:16.042,18Jun13_153247.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,95.70788891204319,65.85590330410783,A,C
782.0,157.0,301,-125.8,-13.9,,15:34:16.545,18Jun13_153247.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,95.70788891204319,65.85590330410783,A,C
782.0,157.0,302,-108.2,-6.9,,15:34:20.090,18Jun13_153247.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,95.70788891204319,65.85590330410783,A,C
782.0,157.0,302,-107.6,-9.3,,15:34:50.916,18Jun13_153247.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,95.70788891204319,65.85590330410783,A,C
782.0,157.0,302,-107.6,-6.5,,15:34:52.432,18Jun13_153247.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,95.70788891204319,65.85590330410783,A,C
693.0,211.0,448,-103.8,-8.1,21.5,15:04:27.666,18Jun13_150427.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,175.410946066658,45.27692569068709,H,H
693.0,211.0,448,-105.4,-9.4,19.3,15:04:28.248,18Jun13_150427.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,175.410946066658,45.27692569068709,H,H
693.0,211.0,448,-105.3,-9.4,19.6,15:04:30.295,18Jun13_150427.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,175.410946066658,45.27692569068709,H,H
693.0,211.0,448,-104.3,-9.3,20.0,15:04:31.494,18Jun13_150427.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,175.410946066658,45.27692569068709,H,H
693.0,211.0,448,-105.4,-8.9,20.0,15:04:32.695,18Jun13_150427.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,175.410946066658,45.27692569068709,H,H
693.0,211.0,448,-103.6,-8.9,21.6,15:04:34.044,18Jun13_150427.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,175.410946066658,45.27692569068709,H,H
693.0,211.0,448,-103.5,-8.9,21.2,15:04:35.019,18Jun13_150427.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,175.410946066658,45.27692569068709,H,H
693.0,211.0,448,-103.6,-8.9,21.0,15:04:37.411,18Jun13_150427.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,175.410946066658,45.27692569068709,H,H
693.0,211.0,448,-102.9,-8.9,22.0,15:04:37.494,18Jun13_150427.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,175.410946066658,45.27692569068709,H,H
693.0,211.0,448,-103.9,-8.9,21.3,15:04:38.694,18Jun13_150427.1.nmf,-9,-10,0,1,0,0,0,0,1,0,0,0,0,0,175.410946066658,45.27692569068709,H,H
