location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename,Power_301,Power_302,301_beam0,301_beam32,301_beam64,301_beam96,301_beam288,302_beam0,302_beam32,302_beam64,302_beam96,302_beam288,Distance_301,Distance_302,Angle_301,Angle_302
767,285,120,-124.6,-11.8,2.5,15:26:40.958,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-125.9,-12.7,0.3,15:26:41.193,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-125.6,-12.4,1.7,15:26:41.360,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-125.3,-12.4,1.4,15:26:42.393,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-125.1,-12.1,1.2,15:26:42.640,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.8,-11.3,3.3,15:26:43.593,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.9,-11.6,2.7,15:26:44.381,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.9,-11.8,2.9,15:26:44.793,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-124.5,-15.1,-6.3,15:26:45.200,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-125.8,-18.6,-8.1,15:26:45.993,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-125.9,-14.4,1.8,15:26:46.475,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-124.7,-12.1,3.2,15:26:47.193,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-124.4,-11.9,2.2,15:26:47.760,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.6,-11.4,3,15:26:48.861,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-124.3,-11.9,2.2,15:26:49.450,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-124.2,-12.1,2.7,15:26:50.076,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.6,-11.6,3.5,15:26:50.992,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.3,-11.3,3.4,15:26:51.299,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.1,-11.2,3.6,15:26:52.192,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.4,-11.4,3.1,15:26:52.638,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.6,-11.3,3.6,15:26:53.380,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.3,-11.5,3.9,15:26:53.708,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.3,-11.7,3.7,15:26:54.580,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.5,-11.4,3.5,15:26:54.992,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123,-14.9,-4.9,15:26:55.780,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.9,-16.1,-5.2,15:26:56.268,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.6,-15.8,-3.9,15:26:56.980,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.6,-16,-4.9,15:26:58.008,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.5,-15.8,-5.2,15:26:58.640,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.6,-15.7,-4.3,15:26:58.828,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.7,-15.4,-4.4,15:26:59.468,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.6,-15.4,-4.5,15:27:00.580,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.4,-15.6,-4.3,15:27:00.748,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.8,-15.9,-5,15:27:01.737,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.4,-15.8,-4.1,15:27:02.444,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.5,-16.5,-6,15:27:02.937,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.8,-13.4,4.1,15:27:03.259,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.1,-11.5,4.2,15:27:04.137,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.6,-11,4.4,15:27:04.597,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.8,-10.9,3.5,15:27:05.337,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.8,-11.7,2.5,15:27:05.824,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.3,-11.4,3.5,15:27:06.925,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-124,-11.4,2.4,15:27:07.104,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-125.1,-12.1,1.5,15:27:07.744,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-124.4,-11.6,3.1,15:27:08.384,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-124.1,-11.4,2.6,15:27:09.165,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-124.1,-11.4,2.4,15:27:10.137,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-124.7,-11.7,1.6,15:27:10.598,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.4,-11.5,3.7,15:27:11.405,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-121.4,-10.4,6,15:27:11.588,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-121.8,-14.3,-3.2,15:27:12.537,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.1,-15.5,-5.5,15:27:12.864,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122,-15.5,-5.2,15:27:13.737,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-121.3,-14.8,-3.7,15:27:14.144,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-121.9,-15.3,-3.8,15:27:14.937,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.8,-16.1,-4.8,15:27:15.885,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-121.9,-15.3,-4,15:27:16.137,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-121.9,-15.1,-3.6,15:27:16.704,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.8,-15.8,-4.9,15:27:17.344,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.3,-15.8,-4.5,15:27:18.125,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.9,-15.4,-4.5,15:27:18.624,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-121.4,-15,-2.5,15:27:19.737,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-121.3,-14.9,-2.8,15:27:20.365,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122,-15.2,-3,15:27:20.937,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-119.6,-16.4,-6.7,15:27:21.184,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-121.1,-17.3,-5,15:27:22.137,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123.9,-14.1,4.6,15:27:22.549,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-123,-11.6,4.4,15:27:23.281,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.6,-10.8,4.4,15:27:23.689,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.1,-10.9,4.4,15:27:24.789,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.1,-10.7,5,15:27:24.969,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.8,-11,4.2,15:27:25.681,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.9,-11,4.3,15:27:26.249,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
767,285,120,-122.1,-10.6,3.8,15:27:27.029,18Jun08_152640.1.nmf,-10,-10,0,1,0,0,0,1,0,0,0,0,132.6536844569,84.1546195999,H,F
