location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename,Power_301,Power_302,301_beam0,301_beam32,301_beam64,301_beam96,301_beam128,301_beam288,302_beam0,302_beam32,302_beam64,302_beam96,302_beam128,302_beam288,Distance_301,Distance_302,Angle_301,Angle_302
707.0,149.0,302,-119.6,-10.8,,15:15:03.108,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-122.8,-11.9,,15:15:03.597,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-118.3,-11.1,,15:15:07.822,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-122.3,-13.1,,15:15:08.891,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-122.8,-13.8,,15:15:09.403,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-118.9,-9.8,,15:15:14.323,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-122.5,-12.6,,15:15:15.540,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-124.3,-14.4,,15:15:16.639,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-126.5,-15.8,,15:15:17.244,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-119.5,-12.6,,15:15:21.008,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-124.4,-14.4,,15:15:22.826,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-126.1,-15.3,,15:15:23.254,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-119.8,-12.6,,15:15:23.933,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-126.1,-15.4,,15:15:29.631,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-120.7,-10.6,,15:16:00.951,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-125.1,-14.8,,15:16:02.610,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-117.3,-10.9,,15:16:06.317,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-120.9,-10.8,,15:16:08.014,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-125.5,-15.3,,15:16:08.533,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-117.8,-11.5,,15:16:09.452,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-116.3,-10.6,,15:16:11.169,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-121.6,-12.1,,15:16:14.081,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-116.6,-10.2,,15:16:15.591,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-117.6,-11.4,,15:16:16.081,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-127.3,-16.0,,15:16:17.329,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-118.8,-11.9,,15:16:20.898,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-124.7,-14.6,,15:16:22.582,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-117.4,-11.8,,15:16:23.022,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,302,-116.9,-11.5,,15:16:28.649,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
707.0,149.0,433,-125.4,-14.4,,15:16:29.133,18Jun21_151445.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,168.5852899869974,64.88451279003334,A,B
697.0,211.0,154,-126.4,-13.6,-0.2,15:20:01.921,18Jun15_152001.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,171.42053552593984,41.30375285612676,H,H
697.0,211.0,154,-126.4,-13.6,-1.0,15:20:01.921,18Jun15_152001.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,171.42053552593984,41.30375285612676,H,H
697.0,211.0,154,-127.1,-14.2,-0.2,15:20:01.921,18Jun15_152001.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,171.42053552593984,41.30375285612676,H,H
697.0,211.0,154,-127.1,-14.2,-1.0,15:20:01.921,18Jun15_152001.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,171.42053552593984,41.30375285612676,H,H
697.0,211.0,154,-127.8,-14.8,-1.1,15:20:02.671,18Jun15_152001.1.nmf,-9,-12,0,0,1,0,0,0,1,0,0,0,0,0,171.42053552593984,41.30375285612676,H,H
