location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename,Power_301,Power_302,301_beam0,301_beam32,301_beam64,301_beam96,301_beam128,302_beam0,302_beam32,302_beam64,302_beam96,302_beam128,Distance_301,Distance_302,Angle_301,Angle_302
879.0,145.0,120,-127.9,-13.3,-1.2,15:55:27.559,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-127.2,-13.1,-1.7,15:55:28.318,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-127.6,-11.9,0.0,15:55:28.716,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-128.6,-12.6,-0.6,15:55:29.660,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-123.4,-10.4,5.2,15:55:30.476,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.9,-9.1,5.6,15:55:30.862,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-121.2,-9.2,5.4,15:55:31.777,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.4,-8.8,6.2,15:55:32.797,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.4,-8.9,6.7,15:55:33.191,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.9,-9.2,5.7,15:55:34.168,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.5,-9.0,6.1,15:55:34.838,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.5,-8.8,6.1,15:55:35.557,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.5,-8.8,5.8,15:55:35.660,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.7,-9.1,5.3,15:55:36.864,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.1,-8.6,7.0,15:55:38.062,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.1,-8.5,6.6,15:55:38.318,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.2,-8.4,6.2,15:55:39.260,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-121.8,-9.4,4.8,15:55:39.598,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-121.5,-9.3,5.1,15:55:40.462,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-121.6,-9.3,5.1,15:55:41.376,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.2,-8.8,6.9,15:55:42.489,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-122.1,-9.6,3.3,15:55:42.856,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-122.1,-9.4,4.8,15:55:43.916,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-122.9,-10.0,2.7,15:55:43.997,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-122.9,-10.1,3.6,15:55:45.161,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-122.1,-9.8,4.7,15:55:45.260,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-121.6,-9.3,4.6,15:55:46.459,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-121.6,-9.4,5.3,15:55:47.659,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-122.5,-9.6,3.2,15:55:48.861,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-122.6,-9.8,4.2,15:55:49.173,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-121.6,-9.0,5.1,15:55:50.059,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-121.0,-8.7,5.9,15:55:50.477,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.8,-8.7,6.0,15:55:51.120,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
879.0,145.0,120,-120.8,-8.7,6.1,15:55:52.173,18Jul12_155527.1.nmf,-5,-5,0,1,0,0,0,1,0,0,0,0,55.10898293381942,153.62942426501507,3,4
