Location_x,Location_y,PCI,RSRP,RSRQ,SNR,Location_SC1_x,Location_SC1_y,Location_SC2_x,Location_SC2_y,Location_SC3_x,Location_SC3_y,Location_SC5_x,Location_SC5_y,Power_SC1,Power_SC2,Power_SC3,Power_SC5,time,file_name
444,123,2,-82.6,-9,30,251,207,480,151,631,209,753,152,19,19,19,19,37:37.8,18Apr13_163736.1.nmf
444,123,2,-84.9,-8.9,28.5,251,207,480,151,631,209,753,152,19,19,19,19,37:36.6,18Apr13_163736.1.nmf
444,123,2,-82.4,-8.8,30,251,207,480,151,631,209,753,152,19,19,19,19,37:36.6,18Apr13_163736.1.nmf
742,286,3,-99.3,-6.5,19.5,251,207,480,151,631,209,753,152,19,19,19,19,14:35.3,18Apr13_171432.1.nmf
742,286,3,-96.1,-7.4,19.8,251,207,480,151,631,209,753,152,19,19,19,19,14:34.1,18Apr13_171432.1.nmf
742,286,3,-94.6,-6.8,21.9,251,207,480,151,631,209,753,152,19,19,19,19,14:32.9,18Apr13_171432.1.nmf
742,286,3,-94.8,-7.4,21.4,251,207,480,151,631,209,753,152,19,19,19,19,14:32.3,18Apr13_171432.1.nmf
595,280,54,-93.6,-8.1,6.5,251,207,480,151,631,209,753,152,19,19,19,19,20:32.8,18Apr13_162027.1.nmf
595,280,54,-96.7,-7.6,8.3,251,207,480,151,631,209,753,152,19,19,19,19,20:31.5,18Apr13_162027.1.nmf
595,280,54,-94.3,-7.8,9.1,251,207,480,151,631,209,753,152,19,19,19,19,20:29.4,18Apr13_162027.1.nmf
595,280,54,-87.4,-7,11,251,207,480,151,631,209,753,152,19,19,19,19,20:28.9,18Apr13_162027.1.nmf
282,227,1,-68.9,-6.2,28,251,207,480,151,631,209,753,152,19,19,19,19,58:00.6,18Apr13_165757.1.nmf
282,227,1,-69.4,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,58:00.3,18Apr13_165757.1.nmf
282,227,1,-70,-6.3,28.7,251,207,480,151,631,209,753,152,19,19,19,19,57:57.9,18Apr13_165757.1.nmf
595,251,54,-86,-6.2,30,251,207,480,151,631,209,753,152,19,19,19,19,24:56.5,18Apr13_162452.1.nmf
595,251,54,-86.9,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,24:55.5,18Apr13_162452.1.nmf
595,251,54,-84.6,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,24:54.2,18Apr13_162452.1.nmf
595,251,54,-90.4,-6.6,28.1,251,207,480,151,631,209,753,152,19,19,19,19,24:52.6,18Apr13_162452.1.nmf
808,186,3,-83.4,-5.9,29.7,251,207,480,151,631,209,753,152,19,19,19,19,04:31.6,18Apr13_110423.1.nmf
808,186,3,-83.4,-5.9,29.6,251,207,480,151,631,209,753,152,19,19,19,19,04:31.1,18Apr13_110423.1.nmf
808,186,3,-83.7,-6,28.9,251,207,480,151,631,209,753,152,19,19,19,19,04:30.6,18Apr13_110423.1.nmf
808,186,3,-83.9,-6,28.6,251,207,480,151,631,209,753,152,19,19,19,19,04:30.1,18Apr13_110423.1.nmf
808,186,3,-85.2,-5.9,28.7,251,207,480,151,631,209,753,152,19,19,19,19,04:29.6,18Apr13_110423.1.nmf
808,186,3,-84.8,-5.9,29,251,207,480,151,631,209,753,152,19,19,19,19,04:29.1,18Apr13_110423.1.nmf
808,186,3,-87.8,-5.9,28.2,251,207,480,151,631,209,753,152,19,19,19,19,04:28.6,18Apr13_110423.1.nmf
808,186,3,-88.4,-10.7,28.2,251,207,480,151,631,209,753,152,19,19,19,19,04:28.1,18Apr13_110423.1.nmf
808,186,3,-87.5,-5.9,27.4,251,207,480,151,631,209,753,152,19,19,19,19,04:27.6,18Apr13_110423.1.nmf
808,186,3,-87.2,-10.7,27.2,251,207,480,151,631,209,753,152,19,19,19,19,04:27.1,18Apr13_110423.1.nmf
808,186,3,-85.3,-5.9,27.9,251,207,480,151,631,209,753,152,19,19,19,19,04:26.6,18Apr13_110423.1.nmf
808,186,3,-83.8,-6.1,27.6,251,207,480,151,631,209,753,152,19,19,19,19,04:26.1,18Apr13_110423.1.nmf
808,186,3,-84.1,-6.1,26.5,251,207,480,151,631,209,753,152,19,19,19,19,04:25.6,18Apr13_110423.1.nmf
808,186,3,-84.9,-10.8,28.6,251,207,480,151,631,209,753,152,19,19,19,19,04:25.1,18Apr13_110423.1.nmf
808,186,3,-85.9,-10.6,27.1,251,207,480,151,631,209,753,152,19,19,19,19,04:24.6,18Apr13_110423.1.nmf
808,186,3,-86.5,-5.9,27.1,251,207,480,151,631,209,753,152,19,19,19,19,04:24.0,18Apr13_110423.1.nmf
665,265,54,-80.4,-6.6,16.6,251,207,480,151,631,209,753,152,19,19,19,19,19:37.5,18Apr13_161932.1.nmf
665,265,54,-80.5,-6.4,17.2,251,207,480,151,631,209,753,152,19,19,19,19,19:35.7,18Apr13_161932.1.nmf
665,265,54,-81.4,-6.6,16.7,251,207,480,151,631,209,753,152,19,19,19,19,19:35.2,18Apr13_161932.1.nmf
665,265,54,-77.8,-6.3,20.1,251,207,480,151,631,209,753,152,19,19,19,19,19:33.1,18Apr13_161932.1.nmf
665,265,54,-83.7,-6.3,21.1,251,207,480,151,631,209,753,152,19,19,19,19,19:33.0,18Apr13_161932.1.nmf
820,210,3,-90.9,-7.2,-0.1,251,207,480,151,631,209,753,152,19,19,19,19,15:22.4,18Apr13_111518.1.nmf
820,210,3,-90.8,-6.8,-0.2,251,207,480,151,631,209,753,152,19,19,19,19,15:21.9,18Apr13_111518.1.nmf
820,210,3,-92,-6.8,-0.2,251,207,480,151,631,209,753,152,19,19,19,19,15:21.4,18Apr13_111518.1.nmf
820,210,3,-90.8,-6.7,0.7,251,207,480,151,631,209,753,152,19,19,19,19,15:20.9,18Apr13_111518.1.nmf
820,210,3,-94.6,-8.3,-0.8,251,207,480,151,631,209,753,152,19,19,19,19,15:20.4,18Apr13_111518.1.nmf
820,210,3,-94.6,-8.1,-1.1,251,207,480,151,631,209,753,152,19,19,19,19,15:19.9,18Apr13_111518.1.nmf
820,210,3,-93.4,-7.3,-1.5,251,207,480,151,631,209,753,152,19,19,19,19,15:19.4,18Apr13_111518.1.nmf
820,210,3,-94.8,-7.3,0.7,251,207,480,151,631,209,753,152,19,19,19,19,15:18.9,18Apr13_111518.1.nmf
791,102,3,-80.1,-8.9,29.4,251,207,480,151,631,209,753,152,19,19,19,19,03:30.7,18Apr13_110322.1.nmf
791,102,3,-77.8,-6.1,29.6,251,207,480,151,631,209,753,152,19,19,19,19,03:30.2,18Apr13_110322.1.nmf
791,102,3,-76.7,-6.3,29.7,251,207,480,151,631,209,753,152,19,19,19,19,03:29.7,18Apr13_110322.1.nmf
791,102,3,-74.8,-5.9,29.7,251,207,480,151,631,209,753,152,19,19,19,19,03:29.2,18Apr13_110322.1.nmf
791,102,3,-77.2,-6.1,29.6,251,207,480,151,631,209,753,152,19,19,19,19,03:28.7,18Apr13_110322.1.nmf
791,102,3,-78.9,-5.9,29.6,251,207,480,151,631,209,753,152,19,19,19,19,03:28.2,18Apr13_110322.1.nmf
791,102,3,-76,-7.8,29,251,207,480,151,631,209,753,152,19,19,19,19,03:27.7,18Apr13_110322.1.nmf
791,102,3,-79.8,-6,28.5,251,207,480,151,631,209,753,152,19,19,19,19,03:27.2,18Apr13_110322.1.nmf
791,102,3,-82.1,-6.4,29.2,251,207,480,151,631,209,753,152,19,19,19,19,03:26.7,18Apr13_110322.1.nmf
791,102,3,-79.4,-6.8,29.3,251,207,480,151,631,209,753,152,19,19,19,19,03:26.2,18Apr13_110322.1.nmf
791,102,3,-79.8,-5.8,29.3,251,207,480,151,631,209,753,152,19,19,19,19,03:25.7,18Apr13_110322.1.nmf
791,102,3,-81.9,-6.9,29.1,251,207,480,151,631,209,753,152,19,19,19,19,03:25.2,18Apr13_110322.1.nmf
791,102,3,-81.9,-6.4,28.8,251,207,480,151,631,209,753,152,19,19,19,19,03:24.7,18Apr13_110322.1.nmf
791,102,3,-82.8,-6.2,29,251,207,480,151,631,209,753,152,19,19,19,19,03:24.2,18Apr13_110322.1.nmf
791,102,3,-82.6,-7.3,28.9,251,207,480,151,631,209,753,152,19,19,19,19,03:23.6,18Apr13_110322.1.nmf
791,102,3,-80.8,-6.8,28.7,251,207,480,151,631,209,753,152,19,19,19,19,03:23.1,18Apr13_110322.1.nmf
791,102,3,-79.9,-8.1,28.9,251,207,480,151,631,209,753,152,19,19,19,19,03:22.6,18Apr13_110322.1.nmf
367,210,1,-92,-7.2,13.3,251,207,480,151,631,209,753,152,19,19,19,19,02:12.5,18Apr13_170210.1.nmf
367,210,1,-92,-8.4,13.9,251,207,480,151,631,209,753,152,19,19,19,19,02:11.5,18Apr13_170210.1.nmf
367,210,1,-93,-6.3,18.3,251,207,480,151,631,209,753,152,19,19,19,19,02:11.0,18Apr13_170210.1.nmf
258,147,1,-96.6,-6.2,26.7,251,207,480,151,631,209,753,152,19,19,19,19,41:28.3,18Apr13_164124.1.nmf
258,147,1,-90.8,-6.5,28.3,251,207,480,151,631,209,753,152,19,19,19,19,41:27.1,18Apr13_164124.1.nmf
258,147,1,-92.2,-6.8,30,251,207,480,151,631,209,753,152,19,19,19,19,41:25.8,18Apr13_164124.1.nmf
258,147,1,-93,-6.4,29.5,251,207,480,151,631,209,753,152,19,19,19,19,41:24.7,18Apr13_164124.1.nmf
694,187,54,-97.8,-5.9,1.5,251,207,480,151,631,209,753,152,19,19,19,19,03:52.5,18Apr13_170350.1.nmf
694,187,54,-91.4,-6.6,4.5,251,207,480,151,631,209,753,152,19,19,19,19,03:51.1,18Apr13_170350.1.nmf
694,187,3,-87.1,-8.5,17,251,207,480,151,631,209,753,152,19,19,19,19,03:50.5,18Apr13_170350.1.nmf
694,187,3,-86.2,-8.9,15.9,251,207,480,151,631,209,753,152,19,19,19,19,03:50.1,18Apr13_170350.1.nmf
726,278,3,-95.9,-6.4,29.4,251,207,480,151,631,209,753,152,19,19,19,19,14:23.0,18Apr13_171421.1.nmf
726,278,3,-98.9,-6.3,25.2,251,207,480,151,631,209,753,152,19,19,19,19,14:21.7,18Apr13_171421.1.nmf
636,282,54,-85.6,-6.3,25.4,251,207,480,151,631,209,753,152,19,19,19,19,19:24.1,18Apr13_161920.1.nmf
636,282,54,-90.1,-6.2,22.8,251,207,480,151,631,209,753,152,19,19,19,19,19:22.4,18Apr13_161920.1.nmf
636,282,54,-92,-6.3,23.2,251,207,480,151,631,209,753,152,19,19,19,19,19:21.1,18Apr13_161920.1.nmf
636,282,54,-84.4,-6.3,26.1,251,207,480,151,631,209,753,152,19,19,19,19,19:20.4,18Apr13_161920.1.nmf
622,214,3,-91.8,-28.7,-14.3,251,207,480,151,631,209,753,152,19,19,19,19,33:08.8,18Apr13_163306.1.nmf
753,212,3,-83.8,-7.9,5,251,207,480,151,631,209,753,152,19,19,19,19,14:46.1,18Apr13_111441.1.nmf
753,212,3,-87.4,-6.5,5.2,251,207,480,151,631,209,753,152,19,19,19,19,14:45.6,18Apr13_111441.1.nmf
753,212,3,-87.8,-6.9,4,251,207,480,151,631,209,753,152,19,19,19,19,14:45.1,18Apr13_111441.1.nmf
753,212,3,-87.1,-6.3,3,251,207,480,151,631,209,753,152,19,19,19,19,14:44.6,18Apr13_111441.1.nmf
753,212,3,-87.9,-7.1,4.1,251,207,480,151,631,209,753,152,19,19,19,19,14:44.1,18Apr13_111441.1.nmf
753,212,3,-88.8,-5.1,6.4,251,207,480,151,631,209,753,152,19,19,19,19,14:43.6,18Apr13_111441.1.nmf
753,212,3,-86.4,-6.4,5.3,251,207,480,151,631,209,753,152,19,19,19,19,14:43.1,18Apr13_111441.1.nmf
753,212,3,-87.8,-8.9,4.1,251,207,480,151,631,209,753,152,19,19,19,19,14:42.6,18Apr13_111441.1.nmf
753,212,3,-86.1,-7.2,7,251,207,480,151,631,209,753,152,19,19,19,19,14:42.1,18Apr13_111441.1.nmf
753,212,3,-82.8,-8.6,6.1,251,207,480,151,631,209,753,152,19,19,19,19,14:41.6,18Apr13_111441.1.nmf
753,212,3,-84.8,-6.8,2.3,251,207,480,151,631,209,753,152,19,19,19,19,14:41.1,18Apr13_111441.1.nmf
503,177,2,-78.9,-6.3,28.1,251,207,480,151,631,209,753,152,19,19,19,19,34:56.7,18Apr13_163452.1.nmf
503,177,2,-78.7,-6.1,27,251,207,480,151,631,209,753,152,19,19,19,19,34:55.5,18Apr13_163452.1.nmf
503,177,2,-78.9,-6.3,27.8,251,207,480,151,631,209,753,152,19,19,19,19,34:54.3,18Apr13_163452.1.nmf
503,177,2,-77.1,-6.4,28.3,251,207,480,151,631,209,753,152,19,19,19,19,34:53.1,18Apr13_163452.1.nmf
503,177,2,-72.6,-6.3,29.2,251,207,480,151,631,209,753,152,19,19,19,19,34:52.8,18Apr13_163452.1.nmf
731,195,3,-79.8,-5.6,26.9,251,207,480,151,631,209,753,152,19,19,19,19,09:18.2,18Apr13_110903.1.nmf
731,195,3,-80.6,-5.9,28.3,251,207,480,151,631,209,753,152,19,19,19,19,09:17.7,18Apr13_110903.1.nmf
731,195,3,-81,-6.1,28.7,251,207,480,151,631,209,753,152,19,19,19,19,09:17.2,18Apr13_110903.1.nmf
731,195,3,-77.9,-6,27.9,251,207,480,151,631,209,753,152,19,19,19,19,09:16.7,18Apr13_110903.1.nmf
731,195,3,-78.1,-6.1,27.4,251,207,480,151,631,209,753,152,19,19,19,19,09:16.2,18Apr13_110903.1.nmf
731,195,3,-79.7,-5.9,27,251,207,480,151,631,209,753,152,19,19,19,19,09:15.7,18Apr13_110903.1.nmf
731,195,3,-81.6,-5.9,27,251,207,480,151,631,209,753,152,19,19,19,19,09:15.1,18Apr13_110903.1.nmf
731,195,3,-81.4,-6.6,27.2,251,207,480,151,631,209,753,152,19,19,19,19,09:14.6,18Apr13_110903.1.nmf
731,195,3,-81.2,-5.9,28,251,207,480,151,631,209,753,152,19,19,19,19,09:14.1,18Apr13_110903.1.nmf
731,195,3,-81.1,-5.8,26.3,251,207,480,151,631,209,753,152,19,19,19,19,09:13.6,18Apr13_110903.1.nmf
731,195,3,-80.9,-5.9,26,251,207,480,151,631,209,753,152,19,19,19,19,09:13.1,18Apr13_110903.1.nmf
731,195,3,-80.5,-5.9,26.5,251,207,480,151,631,209,753,152,19,19,19,19,09:12.6,18Apr13_110903.1.nmf
731,195,3,-79.4,-5.9,27,251,207,480,151,631,209,753,152,19,19,19,19,09:12.1,18Apr13_110903.1.nmf
731,195,3,-80.4,-6,28.3,251,207,480,151,631,209,753,152,19,19,19,19,09:11.6,18Apr13_110903.1.nmf
731,195,3,-80.3,-6.1,28.5,251,207,480,151,631,209,753,152,19,19,19,19,09:11.1,18Apr13_110903.1.nmf
731,195,3,-80.9,-5.9,28.6,251,207,480,151,631,209,753,152,19,19,19,19,09:10.6,18Apr13_110903.1.nmf
731,195,3,-79.6,-5.9,28.1,251,207,480,151,631,209,753,152,19,19,19,19,09:10.1,18Apr13_110903.1.nmf
731,195,3,-79.8,-6.1,28.3,251,207,480,151,631,209,753,152,19,19,19,19,09:09.6,18Apr13_110903.1.nmf
731,195,3,-82.6,-6,29.1,251,207,480,151,631,209,753,152,19,19,19,19,09:09.1,18Apr13_110903.1.nmf
731,195,3,-81.9,-6,29.1,251,207,480,151,631,209,753,152,19,19,19,19,09:08.6,18Apr13_110903.1.nmf
731,195,3,-80.1,-6,28.8,251,207,480,151,631,209,753,152,19,19,19,19,09:08.1,18Apr13_110903.1.nmf
731,195,3,-79.4,-6.1,29,251,207,480,151,631,209,753,152,19,19,19,19,09:07.6,18Apr13_110903.1.nmf
731,195,3,-78.8,-6,29,251,207,480,151,631,209,753,152,19,19,19,19,09:07.1,18Apr13_110903.1.nmf
731,195,3,-78.9,-6,28.8,251,207,480,151,631,209,753,152,19,19,19,19,09:06.6,18Apr13_110903.1.nmf
731,195,3,-81.3,-6.1,28.8,251,207,480,151,631,209,753,152,19,19,19,19,09:06.1,18Apr13_110903.1.nmf
731,195,3,-82.3,-6.1,28.8,251,207,480,151,631,209,753,152,19,19,19,19,09:05.6,18Apr13_110903.1.nmf
731,195,3,-83.2,-6.1,28.6,251,207,480,151,631,209,753,152,19,19,19,19,09:05.1,18Apr13_110903.1.nmf
731,195,3,-80.6,-6,28,251,207,480,151,631,209,753,152,19,19,19,19,09:04.6,18Apr13_110903.1.nmf
731,195,3,-80.7,-5.9,27.8,251,207,480,151,631,209,753,152,19,19,19,19,09:04.1,18Apr13_110903.1.nmf
731,195,3,-78.4,-5.9,28.4,251,207,480,151,631,209,753,152,19,19,19,19,09:03.6,18Apr13_110903.1.nmf
127,189,1,-102.9,-7.2,15.1,251,207,480,151,631,209,753,152,19,19,19,19,59:40.3,18Apr13_165931.1.nmf
127,189,1,-105.6,-7.3,13.9,251,207,480,151,631,209,753,152,19,19,19,19,59:38.9,18Apr13_165931.1.nmf
127,189,1,-105.9,-6.6,14.8,251,207,480,151,631,209,753,152,19,19,19,19,59:38.7,18Apr13_165931.1.nmf
127,189,1,-107.3,-6.7,14.3,251,207,480,151,631,209,753,152,19,19,19,19,59:36.3,18Apr13_165931.1.nmf
127,189,1,-102.1,-6.8,17.6,251,207,480,151,631,209,753,152,19,19,19,19,59:36.3,18Apr13_165931.1.nmf
127,189,1,-102.1,-6.5,16.5,251,207,480,151,631,209,753,152,19,19,19,19,59:33.9,18Apr13_165931.1.nmf
127,189,1,-101.6,-6.7,19,251,207,480,151,631,209,753,152,19,19,19,19,59:32.7,18Apr13_165931.1.nmf
127,189,1,-103.1,-5.8,20.5,251,207,480,151,631,209,753,152,19,19,19,19,59:31.6,18Apr13_165931.1.nmf
206,118,1,-103.6,-12.9,-1,251,207,480,151,631,209,753,152,19,19,19,19,44:13.5,18Apr13_164409.1.nmf
206,118,1,-100.3,-7.6,9.7,251,207,480,151,631,209,753,152,19,19,19,19,44:12.3,18Apr13_164409.1.nmf
206,118,1,-95.3,-8.4,7.4,251,207,480,151,631,209,753,152,19,19,19,19,44:11.1,18Apr13_164409.1.nmf
206,118,1,-97.4,-9.5,4.3,251,207,480,151,631,209,753,152,19,19,19,19,44:10.9,18Apr13_164409.1.nmf
350,135,2,-103.3,-6.9,18.6,251,207,480,151,631,209,753,152,19,19,19,19,39:49.7,18Apr13_163944.1.nmf
350,135,2,-101.9,-6.6,19.2,251,207,480,151,631,209,753,152,19,19,19,19,39:48.6,18Apr13_163944.1.nmf
350,135,2,-103.1,-7.3,15.7,251,207,480,151,631,209,753,152,19,19,19,19,39:47.1,18Apr13_163944.1.nmf
350,135,2,-104.6,-7.3,16.5,251,207,480,151,631,209,753,152,19,19,19,19,39:47.1,18Apr13_163944.1.nmf
350,135,2,-102.4,-6.8,15.3,251,207,480,151,631,209,753,152,19,19,19,19,39:44.9,18Apr13_163944.1.nmf
764,136,3,-79.2,-5.9,29.7,251,207,480,151,631,209,753,152,19,19,19,19,12:33.1,18Apr13_111228.1.nmf
764,136,3,-80,-5.8,29.1,251,207,480,151,631,209,753,152,19,19,19,19,12:32.6,18Apr13_111228.1.nmf
764,136,3,-80.3,-5.9,29.5,251,207,480,151,631,209,753,152,19,19,19,19,12:32.1,18Apr13_111228.1.nmf
764,136,3,-80.5,-6.1,28.9,251,207,480,151,631,209,753,152,19,19,19,19,12:31.6,18Apr13_111228.1.nmf
764,136,3,-78.9,-6.1,28.7,251,207,480,151,631,209,753,152,19,19,19,19,12:31.1,18Apr13_111228.1.nmf
764,136,3,-81.6,-6.3,28.6,251,207,480,151,631,209,753,152,19,19,19,19,12:30.6,18Apr13_111228.1.nmf
764,136,3,-76.2,-5.4,29.7,251,207,480,151,631,209,753,152,19,19,19,19,12:30.1,18Apr13_111228.1.nmf
764,136,3,-75.1,-5.9,29.4,251,207,480,151,631,209,753,152,19,19,19,19,12:29.6,18Apr13_111228.1.nmf
764,136,3,-81.3,-5.7,29.7,251,207,480,151,631,209,753,152,19,19,19,19,12:29.1,18Apr13_111228.1.nmf
588,255,54,-84.6,-6.5,28.8,251,207,480,151,631,209,753,152,19,19,19,19,25:09.3,18Apr13_162507.1.nmf
588,255,54,-86.1,-6.3,27.6,251,207,480,151,631,209,753,152,19,19,19,19,25:08.3,18Apr13_162507.1.nmf
588,255,54,-86.4,-6.3,19.3,251,207,480,151,631,209,753,152,19,19,19,19,25:07.3,18Apr13_162507.1.nmf
777,179,3,-75.3,-6,30,251,207,480,151,631,209,753,152,19,19,19,19,59:44.7,18Apr13_105935.1.nmf
777,179,3,-75.1,-6.1,30,251,207,480,151,631,209,753,152,19,19,19,19,59:44.2,18Apr13_105935.1.nmf
777,179,3,-75.2,-6.4,30,251,207,480,151,631,209,753,152,19,19,19,19,59:43.7,18Apr13_105935.1.nmf
777,179,3,-74.6,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,59:43.2,18Apr13_105935.1.nmf
777,179,3,-74.4,-6.2,30,251,207,480,151,631,209,753,152,19,19,19,19,59:42.7,18Apr13_105935.1.nmf
777,179,3,-75.8,-6.1,30,251,207,480,151,631,209,753,152,19,19,19,19,59:42.2,18Apr13_105935.1.nmf
777,179,3,-76.4,-6,30,251,207,480,151,631,209,753,152,19,19,19,19,59:41.7,18Apr13_105935.1.nmf
777,179,3,-74.2,-5.9,30,251,207,480,151,631,209,753,152,19,19,19,19,59:41.2,18Apr13_105935.1.nmf
777,179,3,-74.9,-6.1,30,251,207,480,151,631,209,753,152,19,19,19,19,59:40.7,18Apr13_105935.1.nmf
777,179,3,-73.4,-6.8,30,251,207,480,151,631,209,753,152,19,19,19,19,59:40.2,18Apr13_105935.1.nmf
777,179,3,-73,-5.9,30,251,207,480,151,631,209,753,152,19,19,19,19,59:39.7,18Apr13_105935.1.nmf
777,179,3,-73.1,-6.1,30,251,207,480,151,631,209,753,152,19,19,19,19,59:39.2,18Apr13_105935.1.nmf
777,179,3,-72.8,-6.1,30,251,207,480,151,631,209,753,152,19,19,19,19,59:38.7,18Apr13_105935.1.nmf
777,179,3,-71.1,-6.4,30,251,207,480,151,631,209,753,152,19,19,19,19,59:38.2,18Apr13_105935.1.nmf
777,179,3,-72,-5.9,30,251,207,480,151,631,209,753,152,19,19,19,19,59:37.7,18Apr13_105935.1.nmf
777,179,3,-71.1,-5.9,30,251,207,480,151,631,209,753,152,19,19,19,19,59:37.2,18Apr13_105935.1.nmf
777,179,3,-75,-6.4,29.9,251,207,480,151,631,209,753,152,19,19,19,19,59:36.7,18Apr13_105935.1.nmf
777,179,3,-75.7,-6.1,29.9,251,207,480,151,631,209,753,152,19,19,19,19,59:36.2,18Apr13_105935.1.nmf
