Location_x,Location_y,PCI,RSRP,RSRQ,SNR,Location_SC1_x,Location_SC1_y,Location_SC2_x,Location_SC2_y,Location_SC3_x,Location_SC3_y,Location_SC5_x,Location_SC5_y,Power_SC1,Power_SC2,Power_SC3,Power_SC5,file_name,time
693.00,212.00,54,-78.4,-6.3,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171335.1.nmf,17:13:36.175
693.00,212.00,54,-79.8,-6.4,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171335.1.nmf,17:13:36.076
151.00,123.00,1,-104.3,-11.1,1.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164801.1.nmf,16:48:05.140
151.00,123.00,1,-101.9,-7.6,10.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164801.1.nmf,16:48:03.858
151.00,123.00,1,-100.9,-7.1,11.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_164801.1.nmf,16:48:01.300
724.00,257.00,54,-98.0,-8.5,6.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162324.1.nmf,16:23:26.857
724.00,257.00,54,-97.8,-9.3,3.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162324.1.nmf,16:23:25.577
724.00,257.00,54,-93.8,-10.4,2.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162324.1.nmf,16:23:25.576
724.00,257.00,54,-99.6,-8.1,7.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162324.1.nmf,16:23:24.393
469.00,164.00,2,-76.1,-6.3,25.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163535.1.nmf,16:35:41.080
469.00,164.00,2,-74.1,-6.3,27.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163535.1.nmf,16:35:38.856
469.00,164.00,2,-69.3,-6.4,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163535.1.nmf,16:35:38.752
469.00,164.00,2,-63.6,-6.3,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163535.1.nmf,16:35:36.536
469.00,164.00,2,-66.9,-6.3,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163535.1.nmf,16:35:36.192
827.00,122.00,3,-85.9,-9.1,24.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_170449.1.nmf,17:04:52.003
827.00,122.00,3,-84.4,-9.0,27.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_170449.1.nmf,17:04:51.834
827.00,122.00,3,-82.9,-9.0,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_170449.1.nmf,17:04:49.739
681.00,207.00,54,-77.6,-6.4,28.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171343.1.nmf,17:13:46.312
681.00,207.00,54,-75.7,-6.3,29.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171343.1.nmf,17:13:45.036
681.00,207.00,54,-75.4,-6.3,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171343.1.nmf,17:13:43.756
681.00,207.00,54,-79.3,-6.3,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171343.1.nmf,17:13:43.556
280.00,213.00,1,-68.1,-6.3,27.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165810.1.nmf,16:58:15.881
280.00,213.00,1,-75.8,-6.3,25.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165810.1.nmf,16:58:14.427
280.00,213.00,1,-67.8,-6.4,28.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165810.1.nmf,16:58:13.481
280.00,213.00,1,-66.3,-6.3,26.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165810.1.nmf,16:58:12.281
280.00,213.00,1,-69.3,-6.4,27.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165810.1.nmf,16:58:11.081
280.00,213.00,1,-63.8,-6.3,27.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165810.1.nmf,16:58:10.221
728.00,214.00,54,-78.4,-6.3,29.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171317.1.nmf,17:13:20.716
728.00,214.00,54,-74.8,-6.3,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171317.1.nmf,17:13:20.575
728.00,214.00,54,-81.1,-6.2,27.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171317.1.nmf,17:13:18.175
357.00,273.00,1,-110.0,-7.0,15.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165504.1.nmf,16:55:06.256
357.00,273.00,1,-105.5,-7.0,19.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165504.1.nmf,16:55:05.056
357.00,273.00,1,-100.6,-6.8,23.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165504.1.nmf,16:55:04.113
567.00,310.00,54,-100.8,-7.0,11.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162117.1.nmf,16:21:21.902
567.00,310.00,54,-101.1,-7.4,9.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162117.1.nmf,16:21:20.139
567.00,310.00,54,-95.5,-7.0,11.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162117.1.nmf,16:21:18.859
567.00,310.00,54,-101.6,-8.4,6.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162117.1.nmf,16:21:17.579
444.00,123.00,2,-81.9,-9.2,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163736.1.nmf,16:37:40.357
444.00,123.00,2,-83.4,-8.9,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163736.1.nmf,16:37:39.077
444.00,123.00,2,-82.6,-9.0,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163736.1.nmf,16:37:37.797
444.00,123.00,2,-84.9,-8.9,28.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163736.1.nmf,16:37:36.618
444.00,123.00,2,-82.4,-8.8,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_163736.1.nmf,16:37:36.618
742.00,286.00,3,-99.3,-6.5,19.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171432.1.nmf,17:14:35.345
742.00,286.00,3,-96.1,-7.4,19.8,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171432.1.nmf,17:14:34.065
742.00,286.00,3,-94.6,-6.8,21.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171432.1.nmf,17:14:32.922
742.00,286.00,3,-94.8,-7.4,21.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_171432.1.nmf,17:14:32.346
595.00,280.00,54,-93.6,-8.1,6.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162027.1.nmf,16:20:32.791
595.00,280.00,54,-96.7,-7.6,8.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162027.1.nmf,16:20:31.508
595.00,280.00,54,-94.3,-7.8,9.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162027.1.nmf,16:20:29.438
595.00,280.00,54,-87.4,-7.0,11.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162027.1.nmf,16:20:28.947
282.00,227.00,1,-68.9,-6.2,28.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165757.1.nmf,16:58:00.636
282.00,227.00,1,-69.4,-6.3,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165757.1.nmf,16:58:00.339
282.00,227.00,1,-70.0,-6.3,28.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165757.1.nmf,16:57:57.881
595.00,251.00,54,-86.0,-6.2,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162452.1.nmf,16:24:56.455
595.00,251.00,54,-86.9,-6.3,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162452.1.nmf,16:24:55.497
595.00,251.00,54,-84.6,-6.3,30.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162452.1.nmf,16:24:54.214
595.00,251.00,54,-90.4,-6.6,28.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162452.1.nmf,16:24:52.610
808.00,186.00,3,-83.4,-5.9,29.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:31.608
808.00,186.00,3,-83.4,-5.9,29.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:31.105
808.00,186.00,3,-83.7,-6.0,28.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:30.603
808.00,186.00,3,-83.9,-6.0,28.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:30.089
808.00,186.00,3,-85.2,-5.9,28.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:29.588
808.00,186.00,3,-84.8,-5.9,29.0,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:29.085
808.00,186.00,3,-87.8,-5.9,28.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:28.576
808.00,186.00,3,-88.4,-10.7,28.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:28.075
808.00,186.00,3,-87.5,-5.9,27.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:27.568
808.00,186.00,3,-87.2,-10.7,27.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:27.067
808.00,186.00,3,-85.3,-5.9,27.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:26.566
808.00,186.00,3,-83.8,-6.1,27.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:26.065
808.00,186.00,3,-84.1,-6.1,26.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:25.556
808.00,186.00,3,-84.9,-10.8,28.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:25.056
808.00,186.00,3,-85.9,-10.6,27.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,11:04:24.555
