location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename,Power_301,Power_302,301_beam0,301_beam32,301_beam64,301_beam96,301_beam128,302_beam0,302_beam32,302_beam64,302_beam96,302_beam128,Distance_301,Distance_302,Angle_301,Angle_302
761.0,245.0,302,-100.8,-6.1,23.4,10:40:37.043,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-95.6,-6.6,25.5,10:40:39.443,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-96.5,-6.4,26.8,10:40:39.659,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-93.9,-6.3,27.4,10:40:40.993,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-91.0,-6.3,29.8,10:40:42.265,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-93.6,-6.3,27.6,10:40:44.037,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-93.3,-6.3,28.7,10:40:44.828,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-86.9,-6.4,29.5,10:40:45.882,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-85.8,-6.1,29.4,10:40:46.490,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-87.3,-6.4,29.0,10:40:46.929,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-87.9,-6.3,28.9,10:40:47.502,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-86.9,-6.2,28.9,10:40:47.976,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-86.4,-6.1,28.6,10:40:48.542,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
761.0,245.0,302,-86.9,-6.3,29.3,10:40:49.147,18Jul06_104036.1.nmf,-10,0,1,0,1,0,0,1,0,0,0,0,116.46887996370532,45.27692569068709,8,6.0
