location_x,location_y,PCI,RSRP
7.0285,16.699,37,-121.181818
7.033,12.193,37,-110.525
7.033,12.193,38,-121.65
7.033,12.193,39,-122.3
7.09,14.4445,37,-118.48
7.09,14.4445,38,-120.6
7.09,14.4445,39,-124.4
8.755,14.6395,37,-119.847368
8.755,14.6395,38,-126.66
8.755,14.6395,39,-127.876471
8.806,16.654,37,-121.08
8.8135,12.2665,37,-108.2
8.8135,12.2665,38,-117.263158
8.8135,12.2665,39,-121.15
9.5515,13.315,37,-106.6
9.5515,13.315,38,-110.05
9.5515,13.315,39,-113.325
12.8665,13.1125,37,-96.998656
14.647,13.186,37,-93.849333
16.4215,13.0225,37,-88.149721
18.3205,13.093,37,-88.677647
19.621,12.9415,37,-84.234524
21.6385,13.009,37,-78.092593
23.5375,13.0795,37,-79.470656
25.549,12.91,37,-83.1496
27.0925,12.9895,37,-93.703704
28.633,12.9505,37,-92.08046
30.526,12.784,37,-92.344554
30.526,12.784,38,-102.9
32.0665,12.745,37,-99.672727
32.0665,12.745,38,-105.05
33.61,12.8245,37,-105.836842
33.61,12.8245,38,-102.1
33.61,12.8245,39,-107.695
35.503,12.658,37,-103.985714
35.503,12.658,39,-111.7
37.879,12.835,39,-97.348661
39.301,12.799,38,-96.018966
40.5775,21.067,38,-88.821074
41.263,24.7255,38,-85.541063
41.458,23.0605,38,-84.016429
41.5465,12.505,38,-96.580769
41.9965,20.9125,38,-83.6375
43.159,24.6775,38,-83.788258
43.33,12.697,38,-98.964151
43.33,12.697,39,-100.842857
43.4185,20.8765,38,-82.637553
43.4725,23.0095,38,-83.283209
44.6335,12.664,38,-85.673246
45.052,24.511,38,-80.653909
45.19,20.5945,38,-81.708935
45.25,22.9645,38,-84.195
46.5295,12.616,38,-81.322488
46.945,24.3445,38,-88.226603
47.0245,22.801,38,-74.858632
47.092,20.7835,38,-76.451163
49.294,23.455,38,-74.078481
49.546,14.674,38,-68.280228
49.5775,20.602,38,-65.38617
49.639,18.3475,38,-63.300755
49.729,12.535,38,-72.476768
49.837,16.801,38,-70.83221
51.829,20.545,38,-64.958403
51.904,23.5075,38,-79.167961
52.0345,14.611,38,-73.700847
52.0855,16.6255,38,-61.999177
52.102,12.5935,38,-70.856126
52.1305,18.403,38,-62.936653
53.8435,20.494,38,-67.51751
53.908,18.358,38,-67.639914
53.992,12.3085,38,-76.228947
54.049,14.56,38,-69.875806
54.097,16.456,38,-67.210042
54.6325,23.557,38,-80.379643
55.633,20.923,38,-70.455556
55.654,12.385,39,-88.181696
56.6245,8.566,39,-96.707595
56.83,2.632,39,-99.975916
56.83,2.632,40,-117.421053
56.9035,0.8515,39,-101.184375
56.9575,12.352,39,-83.708787
57.4735,23.3665,38,-78.081991
57.8755,20.5105,38,-75.800392
58.6165,12.31,39,-82.143333
59.593,8.728,39,-97.743299
59.656,20.584,38,-80.043902
59.6605,6.7105,39,-95.085754
59.965,23.422,38,-85.034842
60.394,12.265,39,-80.919403
60.4645,0.9985,39,-101.344737
60.4645,0.9985,41,-113.6
61.1995,20.6635,38,-84.014343
61.7935,6.6565,39,-89.115854
61.819,12.3475,39,-77.838722
61.864,23.4925,38,-87.776214
61.96,8.5495,39,-89.283182
62.5,20.512,38,-88.746262
62.953,0.9355,39,-95.99426
63.3565,12.19,39,-72.962232
63.9265,6.6025,39,-86.792
64.162,20.5885,38,-95.773451
64.204,3.5125,39,-90.135065
64.894,12.0325,39,-63.274016
65.584,20.5525,38,-94.262441
65.9815,3.4675,39,-92.842083
66.1075,8.4445,39,-73.454826
66.178,6.5455,39,-76.257785
66.793,12.103,39,-56.979167
67.1185,20.2765,38,-100.103191
67.6375,3.307,39,-90.29313
67.9555,6.5005,39,-85.032836
68.455,12.1795,39,-65.340529
68.656,20.119,38,-96.228685
68.8405,22.723,38,-99.875229
69.175,3.1495,39,-87.926415
69.304,8.245,39,-74.092674
69.3355,4.8055,39,-75.989226
69.4765,10.375,39,-73.7
69.496,6.4615,39,-75.304924
70.159,13.915,39,-90.542434
70.204,15.6925,39,-95.49331
70.258,17.8255,39,-86.033654
70.258,17.8255,41,-86.018478
70.4665,12.01,39,-73.357455
70.618,22.678,38,-101.77
70.618,22.678,39,-106.192857
70.618,22.678,41,-110.576667
