Location_x,Location_y,PCI,RSRP,RSRQ,SNR,Location_SC1_x,Location_SC1_y,Location_SC2_x,Location_SC2_y,Location_SC3_x,Location_SC3_y,Location_SC5_x,Location_SC5_y,Power_SC1,Power_SC2,Power_SC3,Power_SC5,file_name,time
595,280,54,-96.7,-7.6,8.3,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162027.1.nmf,20:31.5
595,280,54,-94.3,-7.8,9.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162027.1.nmf,20:29.4
595,280,54,-87.4,-7,11,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162027.1.nmf,20:28.9
282,227,1,-68.9,-6.2,28,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165757.1.nmf,58:00.6
282,227,1,-69.4,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165757.1.nmf,58:00.3
282,227,1,-70,-6.3,28.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_165757.1.nmf,57:57.9
595,251,54,-86,-6.2,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162452.1.nmf,24:56.5
595,251,54,-86.9,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162452.1.nmf,24:55.5
595,251,54,-84.6,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162452.1.nmf,24:54.2
595,251,54,-90.4,-6.6,28.1,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_162452.1.nmf,24:52.6
808,186,3,-83.4,-5.9,29.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:31.6
808,186,3,-83.4,-5.9,29.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:31.1
808,186,3,-83.7,-6,28.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:30.6
808,186,3,-83.9,-6,28.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:30.1
808,186,3,-85.2,-5.9,28.7,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:29.6
808,186,3,-84.8,-5.9,29,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:29.1
808,186,3,-87.8,-5.9,28.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:28.6
808,186,3,-88.4,-10.7,28.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:28.1
808,186,3,-87.5,-5.9,27.4,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:27.6
808,186,3,-87.2,-10.7,27.2,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:27.1
808,186,3,-85.3,-5.9,27.9,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:26.6
808,186,3,-83.8,-6.1,27.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:26.1
808,186,3,-84.1,-6.1,26.5,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:25.6
808,186,3,-84.9,-10.8,28.6,251,207,480,151,631,209,753,152,19,19,19,19,18Apr13_110423.1.nmf,04:25.1
