Lon.,Lat.,RSRP,RSRQ,SNR,,,,,,
565,257,-99.55000114,-8.650000095,7.050000072,,,,,,
541,254,-105.0333328,-9.46666654,3.866666605,,,,,,
525,250,-103.8000011,-9,4.87500003,,,,,,
521,231,-94.27142879,-8.042857034,14.04285731,,,,,,
546,225,-93.375,-9.25,10.07499981,,,,,,
535,242,-98.50000254,-9.066666921,5.599999905,,,,,,
564,284,-86.5,-6.300000191,22.82500029,,,,,,
572,268,-86.27499771,-6.724999905,13.4000001,,,,,,
647,192,-81.79999924,-6.849999905,13.9000001,,,,,,
678,181,-84,-6.866666635,11.16666667,,,,,,
660,172,-87.07500076,-10.52499986,7.825000167,,,,,,
647,158,-83.26666768,-9.533333302,1.699999968,,,,,,
642,175,-91.29999797,-19.83333333,-8.799999873,,,,,,
603,212,-101.5,-29.10000038,-15.99999952,,,,,,
579,210,-103.5,-28.10000038,-15.29999987,,,,,,
559,209,-108.6000004,-27.2750001,-14.72500014,,,,,,
548,209,-88.625,-6.899999976,13.14999986,,,,,,
536,209,-86.72500038,-7.100000143,11.27499986,,,,,,
526,206,-99.10000102,-12.13333321,14.93333333,,,,,,
512,205,-93.54999924,-11.125,4.524999857,,,,,,
512,194,-75.95000076,-6.350000143,26.19999981,,,,,,
503,177,-77.23999939,-6.280000114,28.07999992,,,,,,
504,156,-70.23333232,-6.300000191,29.46666718,,,,,,
498,183,-75.66666667,-6.333333492,23.63333321,,,,,,
490,167,-65.82499886,-6.299999952,28.17499971,,,,,,
469,164,-70,-6.320000172,28.73999977,,,,,,
469,182,-73.23333486,-6.233333429,29.96666654,,,,,,
473,198,-75.27500153,-6.475000024,25.32499981,,,,,,
457,138,-83.90000153,-8.03333346,13.63333321,,,,,,
444,124,-88.63333384,-9.066666921,10.63333321,,,,,,
450,104,-92.13333384,-9.100000064,23.76666705,,,,,,
428,103,-87.43333435,-6.333333413,28.19999981,,,,,,
407,105,-89.80000051,-6.699999968,17.36666616,,,,,,
404,124,-89.13333384,-6.933333397,14.79999955,,,,,,
425,125,-86.27499962,-8.100000143,11.125,,,,,,
444,123,-83.04000092,-8.979999733,29.4,,,,,,
441,142,-76.5,-6.260000038,29.78000031,,,,,,
422,140,-86.90000153,-6.442857197,19.01428604,,,,,,
405,137,-87.90000153,-9.050000191,27.07500029,,,,,,
379,137,-99.47500038,-7.175000072,17.2750001,,,,,,
357,136,-103.0666656,-7.933333397,16.29999987,,,,,,
352,116,-100.5599991,-9.019999886,13.46000004,,,,,,
377,108,-103.9249992,-10.54999995,4.574999988,,,,,,
350,135,-103.0600006,-6.980000114,17.06000023,,,,,,
328,139,-107.3399994,-9.180000114,11.32000008,,,,,,
306,136,-110.1599991,-17.33999977,-0.9,,,,,,
309,119,-102,-7.549999714,18.55000019,,,,,,
302,133,-102.6199997,-6.740000057,21.35999985,,,,,,
305,107,-102.6499996,-7.300000072,20.89999962,,,,,,
278,147,-95.84000092,-6.540000057,25.70000038,,,,,,
258,147,-93.14999962,-6.475000024,28.625,,,,,,
244,144,-95.77500153,-6.350000024,23.2750001,,,,,,
244,159,-89.76666768,-6.366666794,25.89999962,,,,,,
246,172,-95.66666412,-6.53333346,25.79999987,,,,,,
248,188,-94.96000061,-6.500000095,25.63999977,,,,,,
233,182,-94.66666667,-6.466666698,25.76666641,,,,,,
222,192,-95.03333537,-6.366666794,24.86666679,,,,,,
208,189,-88.48000183,-6.380000019,27.55999985,,,,,,
219,153,-97.10000102,-6.666666667,19.06666629,,,,,,
204,150,-95.8666687,-6.699999968,16.26666641,,,,,,
205,134,-95.17500114,-7.375,10.7750001,,,,,,
206,118,-99.15000153,-9.599999785,5.100000024,,,,,,
210,103,-94.17500114,-6.699999928,26.75,,,,,,
192,151,-88.04999924,-6.350000143,25.70000076,,,,,,
177,151,-90.22499847,-6.325000048,23.95000029,,,,,,
188,136,-90.93333435,-7.099999905,12,,,,,,
192,118,-98.95000076,-7.324999928,9.975000143,,,,,,
178,106,-97.51999969,-8.080000114,8.239999962,,,,,,
170,135,-94.5,-6.350000143,27.44999981,,,,,,
177,158,-93.39999962,-6.300000191,25.57500029,,,,,,
179,180,-86.37500191,-6.325000048,25.7750001,,,,,,
178,192,-85.85000229,-6.25,25.05000019,,,,,,
175,152,-88.75,-7.199999928,12,,,,,,
186,153,-94.55000114,-6.350000143,25.22500038,,,,,,
175,133,-98.65000153,-6.75,16.55000019,,,,,,
181,113,-96.60000038,-6.575000048,14.67499971,,,,,,
191,102,-96.93333435,-8.133333365,8.000000159,,,,,,
177,102,-104.6749992,-10.17500007,14.50000012,,,,,,
161,159,-90.36666616,-6.333333333,28.5,,,,,,
172,152,-97.55000114,-6.400000095,24.17500019,,,,,,
149,149,-97.02500153,-6.525000095,19.85000038,,,,,,
151,123,-102.3666687,-8.600000064,7.799999992,,,,,,
145,105,-101.0249996,-9.875,5.225000113,,,,,,
140,118,-104.1750011,-6.950000167,20.625,,,,,,
154,163,-99.54999924,-6.675000072,17.7249999,,,,,,
152,183,-99.19999949,-6.700000127,17.39999962,,,,,,
155,197,-100.3333333,-6.899999936,12.83333333,,,,,,
198,160,-88.5,-6.350000143,22.14999962,,,,,,
202,178,-88.72500038,-6.475000024,28.5250001,,,,,,
202,194,-83.89999962,-6.300000072,28.9749999,,,,,,
199,213,-73.40000153,-6.300000191,28.22500038,,,,,,
200,232,-83.16666667,-7,17.10000038,,,,,,
186,238,-87.75,-8.199999809,27.30000019,,,,,,
185,260,-87.17500114,-6.400000095,28.42500019,,,,,,
185,247,-90.35000038,-6.350000143,27.17500019,,,,,,
205,260,-94.50000191,-7.050000072,12,,,,,,
181,272,-97.13333384,-12.49999968,0.433333337,,,,,,
150,280,-101.2333323,-6.5,23.16666667,,,,,,
160,244,-97.07500076,-6.875000119,26.27499962,,,,,,
201,274,-87.14999962,-6.325000167,27.7750001,,,,,,
217,261,-80.06666819,-6.199999968,25.76666705,,,,,,
217,249,-78.60000102,-6.433333397,22.90000025,,,,,,
221,235,-79.72500038,-6.350000143,19.82499981,,,,,,
223,278,-90.76666768,-6.366666794,24.90000025,,,,,,
243,270,-86.52000122,-6.400000095,19.23999939,,,,,,
