location_x,location_y,PCI,RSRP
15,26,1,-100.6
83,6,3,-91.5
83,6,3,-90.6
83,6,3,-88.1
83,6,3,-92.4
83,6,3,-94.9
83,6,3,-93.7
83,6,3,-93.2
83,6,3,-93.6
83,6,3,-94.8
83,6,3,-94.8
39,25,2,-101.6
39,25,2,-102.5
39,25,2,-102.2
39,25,2,-109.4
17,26,1,-96.6
17,26,1,-97.4
17,26,1,-96.8
82,7,54,-100.6
82,7,54,-100.5
82,7,54,-98.6
82,7,54,-99.1
82,7,54,-102.6
14,20,1,-93
14,20,1,-100.3
14,20,1,-102.3
14,20,1,-94.6
34,5,1,-93.6
34,5,1,-94.3
34,5,1,-98.3
34,5,1,-101.4
23,16,1,-91.9
23,16,1,-91.3
23,16,1,-96.4
23,16,1,-97.7
23,16,1,-97.5
28,9,1,-85.5
28,9,1,-85.9
64,10,54,-93.8
64,10,54,-92.1
64,10,54,-93.4
85,11,3,-86.1
85,11,3,-86.9
85,11,3,-86.9
85,11,3,-88.7
85,11,3,-88.5
85,11,3,-86.8
85,11,3,-87.5
85,11,3,-86.2
85,11,3,-88
85,11,3,-86
83,4,3,-102.9
83,4,3,-101.6
83,4,3,-102.4
83,4,54,-99.4
83,4,54,-95.1
83,4,54,-94.8
83,4,54,-95.5
77,11,54,-84.3
77,11,54,-81.3
77,11,54,-79.1
90,8,3,-93.4
90,8,3,-91
90,8,3,-91.8
90,8,3,-91.7
89,17,3,-79.3
89,17,3,-78.8
89,17,3,-78.7
89,17,3,-78.1
89,17,3,-77.9
89,17,3,-77.9
89,17,3,-78.1
89,17,3,-78.2
89,17,3,-78.1
89,17,3,-77.6
89,17,3,-81
89,17,3,-82.2
89,17,3,-77.4
89,17,3,-76.4
89,17,3,-76.8
89,17,3,-76.8
55,10,54,-95
55,10,54,-96.3
55,10,54,-95.8
55,10,54,-96
55,10,2,-91.2
55,10,2,-89.9
14,14,1,-88.3
14,14,1,-88.8
14,14,1,-89.6
14,14,1,-93.1
19,26,1,-93.8
19,26,1,-92.3
19,26,1,-92.6
19,26,1,-98
18,7,1,-93.8
18,7,1,-94.4
18,7,1,-95.3
18,7,1,-94.5
97,15,151,-105.3
97,15,151,-101.9
97,15,151,-102.6
97,15,151,-103.1
97,15,151,-103.1
97,15,151,-101.1
97,15,151,-102.7
15,16,1,-83.8
15,16,1,-87.9
77,24,3,-85.6
77,24,3,-85
77,24,3,-84.3
77,24,3,-82.9
77,24,3,-83.6
77,24,3,-84.8
77,24,3,-84.7
77,24,3,-83.5
77,24,3,-84.5
7,12,1,-91.4
7,12,1,-92.3
7,12,1,-93.5
7,12,1,-93.9
7,12,1,-96.9
79,24,3,-78.2
79,24,3,-82.8
79,24,3,-74.8
79,24,3,-81.3
79,24,3,-80.1
79,24,3,-77.9
79,24,3,-78.4
79,24,3,-79.3
79,24,3,-79.7
79,24,3,-79.4
79,24,3,-78.6
79,24,3,-79.6
79,24,3,-79.9
79,24,3,-83.3
56,8,54,-104
56,8,54,-106
56,8,54,-104.3
56,8,54,-100.9
82,16,3,-78.1
82,16,3,-82.8
82,16,3,-78.1
82,16,3,-79.8
82,16,3,-79.6
82,16,3,-81.3
82,16,3,-81
82,16,3,-78.8
82,16,3,-78.5
82,16,3,-79
82,16,3,-76.1
82,16,3,-76.4
82,16,3,-80.6
86,16,3,-77.8
86,16,3,-79
86,16,3,-78.1
86,16,3,-76.6
86,16,3,-81.4
86,16,3,-78.5
86,16,3,-77.2
86,16,3,-77.4
86,16,3,-77.4
86,16,3,-76.8
86,16,3,-76.8
86,16,3,-75.2
86,16,3,-80.7
86,16,3,-76.1
86,16,3,-77.8
86,16,3,-76.9
59,12,54,-90.2
59,12,54,-83.8
59,12,54,-90.1
59,12,54,-90.4
35,11,1,-92.9
35,11,1,-91
35,11,1,-95.5
87,19,3,-74.9
87,19,3,-76.3
87,19,3,-72
87,19,3,-73.3
87,19,3,-74.3
87,19,3,-75.1
87,19,3,-74
87,19,3,-74.1
87,19,3,-73.6
87,19,3,-73.5
87,19,3,-73.2
87,19,3,-73.8
87,19,3,-73.2
20,15,1,-96.8
20,15,1,-93.3
20,15,1,-95
85,19,3,-63.9
85,19,3,-69.3
85,19,3,-66.9
85,19,3,-69.8
85,19,3,-70.9
85,19,3,-65.1
85,19,3,-65.1
85,19,3,-65.2
85,19,3,-65.4
85,19,3,-65.6
85,19,3,-67.1
85,19,3,-64.9
85,19,3,-62.8
47,25,2,-89.2
47,25,2,-90.8
47,25,2,-96.4
80,16,3,-70.8
80,16,3,-71.3
80,16,3,-70.7
80,16,3,-70.1
80,16,3,-71.3
80,16,3,-69.1
80,16,3,-68.8
80,16,3,-71.3
80,16,3,-73.3
80,16,3,-73.3
80,16,3,-71
80,4,54,-95.9
80,4,54,-91.4
80,4,54,-92.1
80,4,54,-97.6
79,22,3,-79
79,22,3,-75.1
79,22,3,-75.6
79,22,3,-75.7
79,22,3,-75.7
79,22,3,-74.1
79,22,3,-74.3
79,22,3,-74.8
79,22,3,-75.3
79,22,3,-75.9
79,22,3,-75.9
79,22,3,-76.1
79,22,3,-76.9
80,6,3,-90.9
80,6,3,-91.6
80,6,3,-90.8
29,5,1,-82.9
29,5,1,-85.1
29,5,1,-84.9
29,5,1,-87.4
54,14,2,-78.1
54,14,2,-73.8
86,4,3,-96.1
86,4,3,-96.8
86,4,3,-94.6
86,4,54,-94.8
86,4,54,-98.6
86,4,54,-95.8
28,13,1,-75.4
28,13,1,-76.6
28,13,1,-77.2
28,13,1,-73.4
60,4,54,-102.2
60,4,54,-98.2
60,4,54,-102
60,4,54,-95.4
35,7,1,-96.6
35,7,1,-94.2
35,7,1,-102.3
84,23,3,-83.5
84,23,3,-80.6
84,23,3,-78.3
84,23,3,-78.4
84,23,3,-83.3
84,23,3,-80.1
84,23,3,-79.3
84,23,3,-78
84,23,3,-77.4
84,23,3,-77.9
84,23,3,-82.2
7,18,1,-106.2
7,18,1,-112.7
7,18,1,-107.2
20,20,1,-97.4
20,20,1,-95.9
20,20,1,-98
77,2,54,-93.9
77,2,54,-89.5
77,2,54,-95.4
86,7,54,-104.6
86,7,54,-102.1
86,7,54,-104.8
86,7,54,-107.1
